X,Y,id,left,top,right,bottom
86.324301523,27.221290492,"994",86.324301523,27.221290492,86.424301523,27.321290492
86.324301523,27.121290492,"995",86.324301523,27.121290492,86.424301523,27.221290492
86.324301523,27.021290492,"996",86.324301523,27.021290492,86.424301523,27.121290492
86.324301523,26.921290492,"997",86.324301523,26.921290492,86.424301523,27.021290492
86.324301523,26.821290492,"998",86.324301523,26.821290492,86.424301523,26.921290492
86.324301523,26.721290492,"999",86.324301523,26.721290492,86.424301523,26.821290492
86.324301523,26.621290492,"1000",86.324301523,26.621290492,86.424301523,26.721290492
86.324301523,26.521290492,"1001",86.324301523,26.521290492,86.424301523,26.621290492
86.324301523,26.421290492,"1002",86.324301523,26.421290492,86.424301523,26.521290492
86.324301523,26.321290492,"1003",86.324301523,26.321290492,86.424301523,26.421290492
86.324301523,26.221290492,"1004",86.324301523,26.221290492,86.424301523,26.321290492
86.324301523,26.121290492,"1005",86.324301523,26.121290492,86.424301523,26.221290492
86.324301523,26.021290492,"1006",86.324301523,26.021290492,86.424301523,26.121290492
86.324301523,25.921290492,"1007",86.324301523,25.921290492,86.424301523,26.021290492
86.324301523,25.821290492,"1008",86.324301523,25.821290492,86.424301523,25.921290492
86.324301523,25.721290492,"1009",86.324301523,25.721290492,86.424301523,25.821290492
86.324301523,25.621290492,"1010",86.324301523,25.621290492,86.424301523,25.721290492
86.324301523,25.521290492,"1011",86.324301523,25.521290492,86.424301523,25.621290492
86.324301523,25.421290492,"1012",86.324301523,25.421290492,86.424301523,25.521290492
86.324301523,25.321290492,"1013",86.324301523,25.321290492,86.424301523,25.421290492
86.324301523,25.221290492,"1014",86.324301523,25.221290492,86.424301523,25.321290492
86.324301523,25.121290492,"1015",86.324301523,25.121290492,86.424301523,25.221290492
86.324301523,25.021290492,"1016",86.324301523,25.021290492,86.424301523,25.121290492
86.324301523,24.921290492,"1017",86.324301523,24.921290492,86.424301523,25.021290492
86.324301523,24.821290492,"1018",86.324301523,24.821290492,86.424301523,24.921290492
86.324301523,24.721290492,"1019",86.324301523,24.721290492,86.424301523,24.821290492
86.324301523,24.621290492,"1020",86.324301523,24.621290492,86.424301523,24.721290492
86.324301523,24.521290492,"1021",86.324301523,24.521290492,86.424301523,24.621290492
86.324301523,24.421290492,"1022",86.324301523,24.421290492,86.424301523,24.521290492
86.324301523,24.321290492,"1023",86.324301523,24.321290492,86.424301523,24.421290492
86.424301523,27.521290492,"1024",86.424301523,27.521290492,86.524301523,27.621290492
86.424301523,27.421290492,"1025",86.424301523,27.421290492,86.524301523,27.521290492
86.424301523,27.321290492,"1026",86.424301523,27.321290492,86.524301523,27.421290492
86.424301523,27.221290492,"1027",86.424301523,27.221290492,86.524301523,27.321290492
86.424301523,27.121290492,"1028",86.424301523,27.121290492,86.524301523,27.221290492
86.424301523,27.021290492,"1029",86.424301523,27.021290492,86.524301523,27.121290492
86.424301523,26.921290492,"1030",86.424301523,26.921290492,86.524301523,27.021290492
86.424301523,26.821290492,"1031",86.424301523,26.821290492,86.524301523,26.921290492
